,Date,Time,No. of Transactions
736,2019-01-23,10:30:00,77
737,2019-01-23,10:45:00,55
738,2019-01-23,11:00:00,56
739,2019-01-23,11:15:00,82
740,2019-01-23,11:30:00,102
741,2019-01-23,11:45:00,54
742,2019-01-23,12:00:00,76
743,2019-01-23,12:15:00,89
744,2019-01-23,12:30:00,119
745,2019-01-23,12:45:00,80
746,2019-01-23,13:00:00,66
747,2019-01-23,13:15:00,69
748,2019-01-23,13:30:00,107
749,2019-01-23,13:45:00,56
750,2019-01-23,14:00:00,56
751,2019-01-23,14:15:00,55
752,2019-01-23,14:30:00,61
753,2019-01-23,14:45:00,44
754,2019-01-23,15:00:00,47
755,2019-01-23,15:15:00,52
756,2019-01-23,15:30:00,64
757,2019-01-23,15:45:00,37
758,2019-01-23,16:00:00,40
759,2019-01-23,16:15:00,47
760,2019-01-23,16:30:00,45
761,2019-01-23,16:45:00,39
762,2019-01-23,17:00:00,31
763,2019-01-23,17:15:00,42
764,2019-01-23,17:30:00,34
765,2019-01-23,17:45:00,19
766,2019-01-23,18:00:00,23
767,2019-01-23,18:15:00,18
768,2019-01-23,18:30:00,11
769,2019-01-23,18:45:00,10
770,2019-01-23,19:00:00,15
771,2019-01-23,19:15:00,12
772,2019-01-23,19:30:00,6
773,2019-01-23,19:45:00,16
774,2019-01-23,20:00:00,15
775,2019-01-23,20:15:00,8
776,2019-01-23,20:30:00,8
777,2019-01-23,20:45:00,3
778,2019-01-23,21:00:00,1
779,2019-01-24,06:45:00,4
780,2019-01-24,07:00:00,3
781,2019-01-24,07:15:00,9
782,2019-01-24,07:30:00,14
783,2019-01-24,07:45:00,18
784,2019-01-24,08:00:00,25
785,2019-01-24,08:15:00,31
786,2019-01-24,08:30:00,16
787,2019-01-24,08:45:00,20
788,2019-01-24,09:00:00,38
789,2019-01-24,09:15:00,51
790,2019-01-24,09:30:00,62
791,2019-01-24,09:45:00,45
792,2019-01-24,10:00:00,72
793,2019-01-24,10:15:00,54
794,2019-01-24,10:30:00,51
795,2019-01-24,10:45:00,37
796,2019-01-24,11:00:00,38
797,2019-01-24,11:15:00,68
798,2019-01-24,11:30:00,80
799,2019-01-24,11:45:00,69
800,2019-01-24,12:00:00,67
801,2019-01-24,12:15:00,90
802,2019-01-24,12:30:00,108
803,2019-01-24,12:45:00,95
804,2019-01-24,13:00:00,70
805,2019-01-24,13:15:00,61
806,2019-01-24,13:30:00,66
807,2019-01-24,13:45:00,54
808,2019-01-24,14:00:00,58
809,2019-01-24,14:15:00,80
810,2019-01-24,14:30:00,63
811,2019-01-24,14:45:00,47
812,2019-01-24,15:00:00,54
813,2019-01-24,15:15:00,68
814,2019-01-24,15:30:00,43
815,2019-01-24,15:45:00,45
816,2019-01-24,16:00:00,31
817,2019-01-24,16:15:00,55
